Date,BTC Close,BTC Volume,ETH Close,ETH Volume,XRP Close,XRP Volume,SOL Close,SOL Volume
"Nov 1, 2025","105,996.59","658,372,608,436","3,568.46","382,260,065,201.00",2.5264,52387609063,,
"Oct 1, 2025","109,556.16","2,225,033,226,796","3,847.08","1,395,430,918,350.00",2.5087,191622165285,,
"Sep 1, 2025","114,056.09","1,450,418,370,470","4,145.96","1,053,486,666,675.00",2.8469,166448666002,,
"Aug 1, 2025","112,831.18","1,257,283,514,615","4,073.46","814,969,121,660",2.8529,"137,162,294,857",176.11,"124,329,411,247"
"Jul 1, 2025","115,758.20","2,061,338,304,539","3,696.71","968,856,663,867",3.0252,"238,184,903,219",172.42,"187,945,151,691"
"Jun 1, 2025","107,135.34","1,424,277,758,118","2,486.46","597,782,871,981",2.2387,"84,726,233,210",154.74,"110,243,772,447"
"May 1, 2025","104,638.09","1,496,397,538,233","2,529.09","736,439,227,936",2.1751,"109,806,548,032",156.64,"124,776,649,675"
"Apr 1, 2025","94,207.31","1,060,974,068,310","1,793.78","512,390,406,805",2.1916,"127,539,218,649",147.64,"119,767,641,303"
"Mar 1, 2025","82,548.91","1,049,435,373,908","1,823.48","524,493,831,617",2.0899,"175,693,988,338",124.69,"118,568,071,833"
"Feb 1, 2025","84,373.01","1,257,276,788,562","2,237.91","759,605,849,746",2.1456,"212,973,110,334",148.03,"134,531,484,487"
"Jan 1, 2025","102,405.02","1,668,843,382,017","3,298.27","816,020,167,432",3.0354,"287,233,890,443",231.64,"217,282,875,112"
"Dec 1, 2024","93,429.20","2,057,355,570,135","3,332.53","1,118,659,048,135",2.0801,"460,831,398,702",189.26,"159,276,925,291"
"Nov 1, 2024","96,449.05","2,055,808,875,264","3,705.71","1,029,930,619,790",1.9441,"240,464,639,434",237.74,"189,637,241,339"
"Oct 1, 2024","70,215.19","993,732,418,048","2,515.80","500,885,085,548",0.5092,"34,606,781,409",168.43,"80,693,058,892"
"Sep 1, 2024","63,329.50","879,117,914,822","2,603.06","438,144,022,015",0.6115,"33,812,260,098",152.62,"61,746,399,244"
"Aug 1, 2024","58,969.90","1,043,105,485,208","2,513.39","535,770,895,767",0.5663,"46,339,369,641",135.37,"100,993,272,262"
"Jul 1, 2024","64,619.25","953,395,573,307","3,231.30","496,826,192,549",0.6239,"52,964,472,218",171.83,"83,075,648,942"
"Jun 1, 2024","62,678.29","726,773,965,644","3,432.89","401,807,474,721",0.4755,"31,415,782,516",146.49,"62,485,827,625"
"May 1, 2024","67,491.41","874,291,509,757","3,760.03","494,712,697,510",0.5178,"33,692,882,513",165.64,"92,091,937,719"
"Apr 1, 2024","60,636.86","1,016,068,331,704","3,012.29","480,678,795,896",0.5001,"51,366,166,806",126.96,"119,806,741,353"
"Mar 1, 2024","71,333.65","1,446,417,844,950","3,647.86","670,105,166,249",0.6292,"78,055,400,876",202.87,"180,057,639,872"
"Feb 1, 2024","61,198.38","830,721,862,621","3,341.92","435,402,067,623",0.5863,"35,390,494,102",125.71,"65,774,857,231"
"Jan 1, 2024","42,582.61","825,918,941,347","2,282.54","365,409,742,553",0.5032,"38,140,686,597",97.03,"85,663,698,999"
"Dec 1, 2023","42,265.19","721,704,910,480","2,281.47","351,655,489,427",0.6149,"42,932,459,638",101.51,"96,652,075,134"
"Nov 1, 2023","37,712.75","570,863,267,380","2,052.56","315,824,566,888",0.6064,"48,123,386,486",59.24,"65,686,484,154"
"Oct 1, 2023","34,667.78","476,425,634,860","1,816.46","192,662,877,051",0.6003,"30,841,443,181",38.52,"20,346,249,922"
"Sep 1, 2023","26,967.92","337,637,313,742","1,671.16","134,781,867,370",0.5154,"24,059,040,291",21.4,"7,329,155,898"
"Aug 1, 2023","25,931.47","437,724,169,499","1,645.64","168,678,383,229",0.5108,"36,964,136,590",19.74,"10,668,041,414"
"Jul 1, 2023","29,230.11","382,224,489,090","1,856.16","177,596,680,398",0.6985,"62,924,300,591",23.72,"19,472,024,682"
"Jun 1, 2023","30,477.25","481,734,214,225","1,933.19","206,194,132,396",0.474,"35,567,120,709",18.9,"11,396,306,573"
"May 1, 2023","27,219.66","443,473,015,479","1,874.13","202,326,166,173",0.5174,"28,713,096,386",20.82,"9,078,738,922"
"Apr 1, 2023","29,268.81","511,540,319,004","1,876.92","277,179,762,298",0.4723,"34,696,733,117",22.83,"14,256,987,511"
"Mar 1, 2023","28,478.48","883,299,703,608","1,822.02","302,468,060,876",0.5385,"51,507,438,643",21.17,"17,774,918,267"
"Feb 1, 2023","23,147.35","723,968,574,897","1,605.90","223,749,343,195",0.3771,"25,468,965,964",21.92,"18,758,524,522"
"Jan 1, 2023","23,139.28","690,994,018,045","1,586.54","224,952,954,314",0.4064,"31,217,545,739",23.95,"32,189,311,426"
"Dec 1, 2022","16,547.50","541,356,716,034","1,196.77","161,130,639,970",0.3399,"21,716,710,638",9.96,"8,098,818,749"
"Nov 1, 2022","17,168.57","1,224,531,549,126","1,295.69","421,797,905,717",0.4087,"45,868,433,960",14.12,"38,530,392,927"
"Oct 1, 2022","20,495.77","957,903,424,925","1,572.71","382,071,643,030",0.4659,"51,181,808,836",32.61,"24,020,285,901"
"Sep 1, 2022","19,431.79","1,123,272,250,385","1,327.98","496,652,295,826",0.4798,"65,966,128,848",33.21,"27,370,651,252"
"Aug 1, 2022","20,049.76","894,192,654,543","1,553.68","554,162,785,316",0.3279,"34,012,247,773",31.47,"34,702,219,748"
"Jul 1, 2022","23,336.90","927,582,363,389","1,681.52","534,457,515,643",0.3805,"39,650,213,774",42.4,"43,641,808,083"
"Jun 1, 2022","19,784.73","923,939,211,678","1,067.30","562,032,668,964",0.3314,"39,627,643,330",33.59,"47,456,191,626"
"May 1, 2022","31,792.31","1,105,689,315,990","1,942.33","636,271,175,493",0.4219,"60,039,548,990",45.77,"59,438,120,663"
"Apr 1, 2022","37,714.88","830,115,888,649","2,730.19","493,826,441,956",0.5871,"53,410,197,103",85.1,"54,892,178,111"
"Mar 1, 2022","45,538.68","830,943,838,435","3,281.64","436,852,450,559",0.8146,"69,971,122,276",122.66,"70,610,214,701"
"Feb 1, 2022","43,193.23","671,335,993,325","2,919.20","416,163,449,938",0.782,"80,917,472,475",99.52,"66,218,090,005"
"Jan 1, 2022","38,483.13","923,979,037,681","2,688.28","491,108,556,504",0.6191,"53,056,251,459",99.74,"64,340,292,338"
"Dec 1, 2021","46,306.45","957,047,184,722","3,682.63","621,042,023,890",0.8312,"88,361,223,524",170.3,"77,988,400,810"
"Nov 1, 2021","57,005.43","1,053,270,271,383","4,631.48","573,546,775,953",0.9988,"113,672,805,966",208.67,"88,928,013,588"
"Oct 1, 2021","61,318.96","1,153,077,903,534","4,288.07","574,798,465,423",1.1132,"116,605,183,396",202.42,"95,049,599,341"
"Sep 1, 2021","43,790.89","1,102,139,678,824","3,001.68","653,984,909,752",0.9526,"134,595,426,158",141.07,"158,253,964,986"
"Aug 1, 2021","47,166.69","1,014,674,184,428","3,433.73","703,006,251,884",1.1876,"166,787,599,549",108.48,"55,557,743,675"
"Jul 1, 2021","41,626.20","819,103,381,204","2,536.21","591,738,936,958",0.7478,"73,024,306,974",36.83,"11,907,534,842"
"Jun 1, 2021","35,040.84","1,189,647,451,707","2,274.55","813,523,116,983",0.7064,"98,957,227,517",35.56,"21,093,645,183"
"May 1, 2021","37,332.86","1,976,593,438,572","2,714.95","1,510,329,786,014",1.0466,"307,291,184,156",32.82,"31,090,298,933"
"Apr 1, 2021","57,750.18","1,844,481,772,417","2,773.21","995,334,204,881",1.5917,"481,624,604,752",42.96,"19,636,381,495"
"Mar 1, 2021","58,918.83","1,681,184,264,687","1,918.36","730,832,219,123",0.5739,"134,191,839,512",19.47,"4,765,318,582"
"Feb 1, 2021","45,137.77","2,267,152,936,675","1,416.05","1,007,718,046,121",0.415,"293,948,049,804",13.09,"4,848,510,932"
"Jan 1, 2021","33,114.36","2,153,473,433,571","1,314.99","1,181,644,236,261",0.4923,"212,564,086,908",4.26,"1,997,602,187"
"Dec 1, 2020","29,001.72","1,212,259,707,946",737.8,"470,673,397,126",0.2198,"357,938,635,331",1.51,"355,105,302"
"Nov 1, 2020","19,625.84","1,093,144,913,227",614.84,"487,476,388,045",0.6643,"277,581,515,059",1.97,"488,252,349"
"Oct 1, 2020","13,781.00","1,050,874,546,086",386.59,"416,749,195,873",0.2397,"63,889,935,459",1.54,"328,629,399"
"Sep 1, 2020","10,784.49","1,075,949,438,431",359.94,"518,354,378,929",0.2418,"45,662,634,855",2.9,"545,992,473"
"Aug 1, 2020","11,680.82","708,377,092,130",435.08,"374,122,796,720",0.2818,"65,782,526,471",4.78,"489,810,383"
"Jul 1, 2020","11,323.47","545,813,339,109",345.55,"251,431,946,993",0.2589,"38,625,961,278",1.54,"158,338,838"
"Jun 1, 2020","9,137.99","650,913,318,680",226.32,"252,220,724,156",0.1759,"35,578,383,227",0.86,"53,513,032"
"May 1, 2020","9,461.06","1,286,368,141,507",230.98,"505,593,287,696",0.2029,"61,956,266,331",0.57,"84,466,391"
"Apr 1, 2020","8,658.55","1,156,127,164,831",207.6,"532,158,870,567",0.2128,"63,584,657,686",0.69,"372,046,234"
"Mar 1, 2020","6,438.64","1,290,442,059,648",133.59,"498,921,414,458",0.1746,"75,868,716,576",,
"Feb 1, 2020","8,599.51","1,163,376,492,768",219.85,"578,092,481,246",0.2312,"87,190,811,881",,
"Jan 1, 2020","9,350.53","852,872,174,496",180.16,"327,976,431,869",0.2392,"54,593,441,850",,
"Dec 1, 2019","7,193.60","633,790,373,416",129.61,"247,117,483,830",0.1929,"40,316,503,335",,
"Nov 1, 2019","7,569.63","676,919,523,650",152.54,"252,844,958,892",0.2265,"54,964,061,382",,
"Oct 1, 2019","9,199.58","595,205,134,748",183.97,"251,679,512,754",0.2964,"51,233,021,096",,
"Sep 1, 2019","8,293.87","480,544,963,230",179.87,"223,404,691,299",0.2559,"38,481,735,271",,
"Aug 1, 2019","9,630.66","533,984,971,734",172.47,"203,391,541,658",0.2592,"32,794,693,243",,
"Jul 1, 2019","10,085.63","676,416,326,705",218.65,"249,663,340,219",0.3209,"42,214,767,349",,
"Jun 1, 2019","10,817.16","675,855,385,074",290.7,"270,589,672,710",0.3964,"55,466,087,196",,
"May 1, 2019","8,574.50","724,157,870,864",268.11,"314,349,041,886",0.4386,"66,586,697,273",,
"Apr 1, 2019","5,350.73","445,364,556,718",162.17,"204,556,824,026",0.3095,"37,521,700,569",,
"Mar 1, 2019","4,105.40","297,952,790,260",141.51,"138,882,123,600",0.3092,"21,925,414,930",,
"Feb 1, 2019","3,854.79","199,100,675,597",136.75,"101,430,995,445",0.3151,"16,987,628,276",,
"Jan 1, 2019","3,457.79","167,335,706,864",107.06,"85,054,975,141",0.31,"14,662,353,948",,
"Dec 1, 2018","3,742.70","168,826,809,069",133.37,"72,329,895,639",0.3527,"17,988,339,238",,
"Nov 1, 2018","4,017.27","158,359,524,484",113.17,"59,375,107,547",0.3625,"21,368,949,729",,
"Oct 1, 2018","6,317.61","118,436,880,000",197.38,"44,459,810,000",0.4484,"15,459,518,000",,
"Sep 1, 2018","6,625.56","129,745,370,000",232.85,"55,203,910,000",0.5816,"22,440,748,000",,
"Aug 1, 2018","7,037.58","132,292,770,000",283,"49,073,240,000",0.3353,"8,367,297,000",,
"Jul 1, 2018","7,780.44","141,441,939,792",433.87,"52,395,320,112",0.4352,"7,476,793,048",,
"Jun 1, 2018","6,404.00","130,214,179,584",455.18,"55,077,550,208",0.4662,"8,655,380,016",,
"May 1, 2018","7,494.17","197,611,709,696",577.65,"81,752,720,256",0.6126,"14,500,476,976",,
"Apr 1, 2018","9,240.55","196,550,010,624",669.92,"60,669,918,656",0.8379,"22,228,505,040",,
"Mar 1, 2018","6,973.53","193,751,709,184",396.46,"53,716,179,584",0.5124,"17,449,674,064",,
"Feb 1, 2018","10,397.90","229,717,780,480",855.2,"83,393,441,152",0.9046,"36,939,665,216",,
"Jan 1, 2018","10,221.10","416,247,858,176","1,118.31","163,610,220,288",1.1624,"105,603,069,632",,
"Dec 1, 2017","14,156.40","410,336,495,104",756.73,"79,862,276,544",2.3006,"60,433,139,712",,
"Nov 1, 2017","10,233.60","140,735,010,304",447.11,"26,957,496,832",0.2509,"5,919,822,952",,
"Oct 1, 2017","6,468.40","58,009,357,952",,,,,,
"Sep 1, 2017","4,338.71","55,700,949,056",,,,,,
"Aug 1, 2017","4,703.39","63,548,016,640",,,,,,
"Jul 1, 2017","2,875.34","32,619,956,992",,,,,,
"Jun 1, 2017","2,480.84","44,478,140,928",,,,,,
"May 1, 2017","2,286.41","34,261,856,864",,,,,,
"Apr 1, 2017","1,347.89","9,757,448,112",,,,,,
"Mar 1, 2017","1,071.79","10,872,455,960",,,,,,
"Feb 1, 2017","1,179.97","4,282,761,200",,,,,,
"Jan 1, 2017",970.4,"5,143,971,692",,,,,,
"Dec 1, 2016",963.74,"3,556,763,800",,,,,,
"Nov 1, 2016",745.69,"2,635,773,092",,,,,,
"Oct 1, 2016",700.97,"2,115,443,796",,,,,,
"Sep 1, 2016",609.73,"2,004,401,400",,,,,,
"Aug 1, 2016",575.47,"2,686,220,180",,,,,,
"Jul 1, 2016",624.68,"3,454,186,204",,,,,,
"Jun 1, 2016",673.34,"4,749,702,740",,,,,,
"May 1, 2016",531.39,"2,234,432,796",,,,,,
"Apr 1, 2016",448.32,"1,811,475,204",,,,,,
"Mar 1, 2016",416.73,"2,332,852,776",,,,,,
"Feb 1, 2016",437.7,"1,876,238,692",,,,,,
"Jan 1, 2016",368.77,"1,990,880,304",,,,,,
"Dec 1, 2015",430.57,"2,096,250,000",,,,,,
"Nov 1, 2015",377.32,"2,177,623,396",,,,,,
"Oct 1, 2015",314.17,"953,279,500",,,,,,
"Sep 1, 2015",236.06,"603,623,900",,,,,,
"Aug 1, 2015",230.06,"905,192,300",,,,,,
"Jul 1, 2015",284.65,"999,892,200",,,,,,
"Jun 1, 2015",263.07,"629,780,200",,,,,,
"May 1, 2015",230.19,"568,122,600",,,,,,
"Apr 1, 2015",236.15,"672,338,700",,,,,,
"Mar 1, 2015",244.22,"959,098,300",,,,,,
"Feb 1, 2015",254.26,"711,518,700",,,,,,
"Jan 1, 2015",217.46,"1,098,811,912",,,,,,
"Dec 1, 2014",320.19,"553,102,310",,,,,,
"Nov 1, 2014",378.05,"659,733,360",,,,,,
"Oct 1, 2014",338.32,"902,994,450",,,,,,