Year,GS10,baaCorp
1970,7.79,8.86
1971,6.24,8.74
1972,5.95,8.23
1973,6.46,7.9
1974,6.99,8.48
1975,7.5,10.81
1976,7.74,10.41
1977,7.21,9.08
1978,7.96,9.17
1979,9.1,10.13
1980,10.8,12.42
1981,12.57,15.03
1982,14.59,17.1
1983,10.46,13.94
1984,11.67,13.65
1985,11.38,13.26
1986,9.19,11.44
1987,7.08,9.72
1988,8.67,11.07
1989,9.09,10.65
1990,8.21,9.94
1991,8.09,10.45
1992,7.03,9.13
1993,6.6,8.67
1994,5.75,7.65
1995,7.78,9.08
1996,5.65,7.47
1997,6.58,8.09
1998,5.54,7.19
1999,4.72,7.29
2000,6.66,8.33
2001,5.16,7.93
2002,5.04,7.87
2003,4.05,7.35
2004,4.15,6.44
2005,4.22,6.02
2006,4.42,6.24
2007,4.76,6.34
2008,3.74,6.54
2009,2.52,8.14
2010,3.73,6.25
2011,3.39,6.09
2012,1.97,5.23
2013,1.91,4.73
2014,2.86,5.19
2015,1.88,4.45
2016,2.09,5.45
2017,2.43,4.66
2018,2.58,4.26
2019,2.71,5.12
2020,1.76,3.77
2021,1.08,3.24
2022,1.76,3.58
2023,3.53,5.5
2024,4.06,5.68
2025,4.63,6.08